title,brand,brandJp,category,description
ネバーエンディング サマー,Maison Margiela,メゾン マルジェラ,シトラス系/ウッディ系,イタリアのアマルフィ海岸での終わらない夏をテーマにした、爽やかさと深みを兼ね備えたシトラスウッディの香り。ビターオレンジ、アールグレイ、ベチバーなどが織りなす。
アイディアル ワン,Maison Margiela,メゾン マルジェラ,ウッディ系/ムスク系,「運命の肌の香り」を具現化した、センシュアルなフレグランス。シトラス、フローラル、スキンムスク、バニラ、ガイアックウッドの深みが特徴。
セレスティアル ウィスパー,Maison Margiela,メゾン マルジェラ,オリエンタル系,「聖なる煙の香り」をコンセプトにした、インセンス、アルデヒド、ミルラ、バニラなどが溶け合う神秘的な香り。
ユーロン,Giorgio Armani,ジョルジオ アルマーニ,シトラス系/アロマティック系,中国・雲南省の茶畑から着想を得た、フレッシュなシトラスとグリーンティー、ブラックティーの洗練された香り。
メロディ,Miller Harris,ミラーハリス,フローラル系/ムスク系,愛の記憶や憧れの余韻を表現した、ブラックカラント、ローズ、ラベンダー、ホワイトムスクが織りなす詩的な香り。
スタッカート,Miller Harris,ミラーハリス,シトラス系/フローラル系,弾けるようなシトラスノートと軽やかなフローラルが特徴の、明るく活気のある香り。
ミニア,Miller Harris,ミラーハリス,アロマティック系/フレッシュ系,ヴァージニア・ウルフの小説『灯台へ』から着想を得た、カルダモン、セージ、ミント、ユーカリなどが香るアロマティックマリン調の香り。
リザーブ ホイップドチェリー,Clean,クリーン,フルーティー系/グルマン系,ワイルドチェリー、パイナップル、プラリネ、バニラクリームなどが織りなす、デザートのような甘く魅惑的な香り。
ミルク ＆ マッチャ,Obvious,オブヴィアス,グルマン系,慌ただしい朝のカフェをイメージした、抹茶の渋みとミルクのまろやかさが溶け合う心地よい香り。
サンタル ブラン ル パルファム,Van Cleef & Arpels,ヴァンクリーフ&アーペル,ウッディ系/パウダリー系,純粋なサンダルウッドをテーマにした、マンダリン、イチジクミルク、サンダルウッド、ムスクが織りなす柔らかく繊細な香り。
パッサージュ ダンフェ エクストリーム,L'artisan Parfumeur,ラルチザン パフューム,ウッディ系/フローラル系,「よみがえりの花」ヒガンバナにインスパイアされた、インセンス、ユリ、サンダルウッドなどが香る静かで落ち着いた香り。
シャッセ オ パピオン,L'artisan Parfumeur,ラルチザン パフューム,フローラル系,満開の花々を思わせる、軽やかで明るいフローラルブーケの香り。
ルペルスヴァン,Serge Lutens,セルジュ ルタンス,ムスク系,「心の嵐を越える」癒しをテーマにした、ムスク、クラリセージエッセンス、ホワイトアンバーが優雅に香る。
シンフォニー,Louis Vuitton,ルイ・ヴィトン,シトラス系,ベルガモット、グレープフルーツ、ジンジャーが織りなす、フレッシュでスパイシーな柑橘系の香り。
サユ,Ahres,アーレス,ウッディ系,日本の自然を思わせる、落ち着いたウッディノートと穏やかなグリーンの香り。
サンセット レイニー バレー,Ahres,アーレス,フレッシュ系/ウッディ系,雨上がりの夕暮れの谷をイメージした、アクアノート、カルダモン、シダーウッドが香るしっとりとしたウッディの香り。
デゾベイサン,Givenchy,ジバンシイ,フローラル系,挑発的で魅惑的なフローラルノートが特徴の、大胆な女性らしさを表現する香り。
アンファン テリブル,Givenchy,ジバンシイ,シトラス系/ウッディ系/ムスク系,創始者ユベール・ド・ジバンシィへのオマージュ。ベルガモット、ジンジャー、ブラックティー、シダーウッド、ムスクが香る型破りな香り。
リブレ ロー ニュ,Yves Saint Laurent,イヴ・サンローラン,シトラス系/フローラル系,アルコールフリーで肌に優しい、ジューシーなシトラスとオレンジブロッサムが軽やかに広がるフレッシュな香り。
イブニング グロー,Tamburins,タンバリンズ,フローラル系/ムスク系,夕暮れの空のような、暖かく包み込むフローラルとムスクの香り。
ボタリ,Tamburins,タンバリンズ,オリエンタル系/ムスク系,キノコの胞子が弾ける生命力を表現した、アキガラウッド、アンバーグリス、ムスク、モスが織りなす奥深く官能的な香り。
チャンス オー スプランディド,Chanel,シャネル,フルーティー系/フローラル系,ラズベリー、ローズ、ローズゼラニウム、セダー、ホワイトムスクが織りなす、まばゆい輝きを放つ魅惑的なフルーティフローラル。
ガブリエル シャネル ロー,Chanel,シャネル,フローラル系,ジャスミン、イランイラン、オレンジブロッサム、チュベローズが織りなす、フレッシュさが弾けるフルーティフローラルの香り。
ユーカリプタス 20,Le Labo,ル ラボ,アロマティック系,爽やかなユーカリプタスを基調とした、清潔感のあるアロマティックな香り。
ホワイト サボン,SUNAH,スナハ,ソープ系,ラフランス、スイセン、ムスクなどが香る、湯上がりのような優しく柔らかなサボンの香り。
フォーチュイタス フィンリー,Penhaligon's,ペンハリガン,ウッディ系/スパイシー系/レザー系,庭師のフィンリーとブランシュ夫人の禁断の恋をテーマに、ソルティーピスタチオ、バイオレットリーフ、レザーが織りなす複雑な香り。
ウッディ サボン,SUNAH,スナハ,ソープ系/ウッディ系,ベルガモット、ピンクペッパー、シダーウッド、サンダルウッドが調和した、爽やかなサボンと深みのあるウッディの香り。
ピオニー イン ナイト,Flowereriy,フラワーエリー,フローラル系/アロマティック系,紅茶と夜の芍薬をテーマにした、ベルガモット、ブラックティー、ピオニー、サンダルウッドが香る上質で心ほぐれる香り。
ペッシュ ミラージュ,Guerlain,ゲラン,フルーティー系/レザー系,ジューシーなピーチを主役に、オスマンサス、レザー、サンダルウッドが織りなす魅惑的で洗練された香り。
ローズ バルバル,Guerlain,ゲラン,フローラル系/シプレ系,「野蛮なローズ」をテーマに、ブルガリアンローズ、フェヌグリーク、ハニー、パチュリが織りなす洗練されたユニセックスな香り。
サンタル パオロッサ,Guerlain,ゲラン,ウッディ系/フローラル系,希少なサンダルウッドとローズが奏でる、エレガントで深みのあるウッディフローラルの香り。
サイプレス＆シーフェンネル オードパルファン,Molton Brown,モルトンブラウン,フレッシュ系/ウッディ系,サイプレスとシーフェンネルをリーディングに、ベルガモット、マリンノート、レザー、シダーウッドが織りなすモダンなマリンノート。
タバコアブソリュート オードパルファン,Molton Brown,モルトンブラウン,ウッディ系/オリエンタル系,タバコ・アブソリュートとバルサムが調和した、深く温かみのある洗練されたウッディオリエンタルの香り。
アン・エテ・フランセ,Celine,セリーヌ,フローラル系/バニラ系,南フランスのバカンスをイメージした、ネロリ、ゴース、パウダリーなバニラが香るノスタルジックな香り。
オーエーシー,RboW,アールボウ,ウッディ系/フローラル系,夜明けのアトリエをイメージした、カルダモン、ジャスミン、シダーウッド、ベチバーが調和する深みと透明感のある香り。
アトリエチャイ,RboW,アールボウ,グルマン系,温かいチャイティーをイメージした、スパイシーでクリーミーなグルマン系の香り。
アンブル ニュイ エスプリ ドゥ パルファン,Dior,ディオール,オリエンタル系/スパイシー系,月明かりのない夜の闇への冒険をテーマに、シナモン、カルダモン、アンバー、ムスクが香るスパイシーで温かみのあるオリエンタルノート。
グリ ディオール エスプリ ドゥ パルファン,Dior,ディオール,シプレ系/フローラル系,ディオールを象徴する「グリ ディオール」を再解釈。ブルガリアンローズ、ヴァイオレット、シダーウッド、パチョリ、アンバーが香るエレガントなシプレフローラル。
ルージュ トラファルガー エスプリ ドゥ パルファン,Dior,ディオール,フルーティー系/グルマン系,ディオールの真紅のドレス「トラファルガー」にインスパイアされた、チェリー、ローズ、レッドベリーが濃密に香る魅惑的なフルーティーグルマン。
バレニア,Hermes,エルメス,シプレ系/レザー系,エルメス初のシプレ系フレグランス。ジンジャーリリー、ミラクルベリー、オークウッド、パチョリなどが織りなす、レザーが肌に寄り添うような繊細でしなやかな香り。
カブリオル,Hermes,エルメス,フローラル系/ムスク系,キンモクセイ、ハニーサックル、サンダルウッドが調和した、優しさと気品が織りなすフレッシュでデリケートな香り。
レッド ハイビスカス,Jo Malone,ジョー マローン,フローラル系,エキゾチックなハイビスカスとジャスミンが織りなす、明るく華やかなフローラルノート。
ムーンライト パチョリ,Van Cleef & Arpels,ヴァンクリーフ&アーペル,ウッディ系/シプレ系,月明かりの下で繊細にきらめくパチョリを表現。ベルガモット、ブルガリアンローズ、アイリス、パチョリ、レザーが織りなすモダンで魅惑的な香り。
ローズ ルージュ,Van Cleef & Arpels,ヴァンクリーフ&アーペル,オリエンタル系/フローラル系,ブラックカラント、ローズ、ラズベリー、カカオ、バニラなどが織りなす、官能的で奥行きのあるローズの香り。
サンタル ブラン,Van Cleef & Arpels,ヴァンクリーフ&アーペル,ウッディ系/パウダリー系,純粋なサンダルウッドをテーマにした、マンダリン、イチジクミルク、サンダルウッド、ムスクが織りなす柔らかく繊細な香り。
オーキデ ヴァニーユ,Van Cleef & Arpels,ヴァンクリーフ&アーペル,グルマン系/フローラル系,バニラとオーキッドを主役にした、バニラ、ダークチョコレート、アーモンド、ブルガリアンローズなどが香る甘くパウダリーな香り。
オルナー,Aesop,イソップ,ハーバル系/フローラル系/ウッディ系,伝統的なフローラルを覆す、カモミール、マグノリア、ゼラニウム、サンダルウッドが織りなすハーバルでフレッシュな香り。
ソリューション No.2,Off-White,オフ-ホワイト,シトラス系/ウッディ系,タンジェリン、レモン、オレンジブロッサム、ムスク、シダーウッドなどが織りなす、フレッシュさとウッディさが対照的なエネルギッシュな香り。
ソリューション No.4,Off-White,オフ-ホワイト,ウッディ系/アロマティック系,ユーカリ、イチジク、タバコ、ブラックレザー、パロサントなどが融合した、都会的で自然を感じさせるウッディ・アロマティックな香り。
ソリューション No.6,Off-White,オフ-ホワイト,フローラル系,現代的なフローラルノートに、エッジの効いたアクセントを加えた香り。
ソリューション No.9,Off-White,オフ-ホワイト,グルマン系/ウッディ系/フローラル系/ムスク系,ライスと胡麻のクリーミーな香りが特徴。ビターアーモンド、ジャスミン、ライス、ムスクなどが織りなすユニークなウッディフローラルムスク。
ドンローザ ミレジメ,Liquides Imaginaires,リキッドイマジネール,フローラル系/ウッディ系,ロゼシャンパーニュをテーマにした「ドン ローザ」の特別版。シャンパン、ダマスクローズ、クローブ、ウッディノートが織りなす深く芳醇な香り。
フルーヴ タンドル,Liquides Imaginaires,リキッドイマジネール,フローラル系/スパイシー系/アニマリック系,「愛の冒険」をテーマに、マンダリン、サフラン、ローズウォーター、ムスク、レザーが絡み合う官能的な香り。
アーム デュ クール,Liquides Imaginaires,リキッドイマジネール,ウッディ系/スパイシー系,心の奥底に触れるような、深みのあるウッディとスパイスの香り。
クレド,Nishane,ニシャネ,ウッディ系/スパイシー系,エスペラント語で「信念」を意味する。カルダモン、ピンクペッパー、金木犀、ウード、サンダルウッドなどが香る力強くエレガントな香り。
ファン ユア フレームズ,Nishane,ニシャネ,グルマン系/スモーキー系,ココナッツ、ラム、タバコ、トンカビーン、オークモスが織りなす、情熱的なインスピレーションと温かいスモーキーな香り。
チュベローザ,Nishane,ニシャネ,フローラル系/オリエンタル系,魅惑的なチュベローズを主役にした、イランイラン、ガーデニア、ベチバー、アンバーウッドなどが複雑に香る官能的なフローラルアンバー。
フォーハー ムスクヌード,Narciso Rodriguez,ナルシソ ロドリゲス,フローラル系/ムスク系,第二の肌のように寄り添う、ピンクペッパー、ダマスクローズ、ムスク、トンカビーンが織りなす優しく官能的な香り。
フォーハー オードパルファム,Narciso Rodriguez,ナルシソ ロドリゲス,シプレ系/フローラル系,ピーチ、ローズ、ムスク、パチュリ、アンバーが織りなす、女性らしさの中にミステリアスな魅力を秘めた洗練された香り。
フォーハー ムスクノアール ローズ,Narciso Rodriguez,ナルシソ ロドリゲス,フローラル系/オリエンタル系,ベルガモット、プラム、ムスク、ローズ、チュベローズ、バニラ、レザースエードが織りなす、官能的で繊細なアンバーフローラル。
ウダート,Acqua Delle Langhe,アクア デレ ランゲ,ウッディ系/レザー系,ウードを中心にサンダルウッド、タバコ、レザーが調和した、力強く催眠的な香りのフレグランス。
ヴィレロ,Acqua Delle Langhe,アクア デレ ランゲ,シトラス系/フローラル系/アロマティック系,地中海の春を思わせる、レモン、ラベンダー、ローズ、ムスクが調和したフレッシュでフローラルな香り。
アルバ ポンペイア,Acqua Delle Langhe,アクア デレ ランゲ,シトラス系/グリーン系,ポンペイアの夜明けを思わせる、フレッシュなシトラスとグリーンの香り。
ネイラン,Acqua Delle Langhe,アクア デレ ランゲ,フローラル系/ウッディ系/ムスク系/パウダリー系,高貴なアイリスを中心に、ベルガモット、コリアンダー、シダーウッド、レザー、ムスクが調和したパウダリーで心地よい香り。
セレクオ,Acqua Delle Langhe,アクア デレ ランゲ,スパイシー系/ウッディ系/オリエンタル系,スパイスとインセンスが強く香る、ペッパー、カルダモン、ウード、アンバー、サンダルウッドなどが力強く持続する個性的な香り。
ダーティー ライス,Borntostandout,ボーン トゥ スタンド アウト,グルマン系/ウッディ系,米の柔らかな感触を表現した、ベルガモット、アーモンド、バスマティライス、ミルク、サンダルウッドが織りなす奥深く官能的な香り。
インデセント チェリー,Borntostandout,ボーン トゥ スタンド アウト,フルーティー系/フローラル系,挑発的でありながら無邪気さも感じさせるスイートチェリー、ブルガリアンローズ、ストロベリー、バニラなどが香る誘惑的な香り。
シュガー アディクト,Borntostandout,ボーン トゥ スタンド アウト,グルマン系,「砂糖中毒」をテーマに、シュガー、ココア、バニラ、ラム、カシミアウッドなどが織りなす甘く官能的な香り。
ヒノキ シャワー,Borntostandout,ボーン トゥ スタンド アウト,ウッディ系/アロマティック系,ヒノキの森でシャワーを浴びるような体験を香りで表現した、サイプレス、シダーウッド、タバコ、ベチバーが香る静寂な香り。
オピウム オーデトワレ,Yves Saint Laurent,イヴ・サンローラン,オリエンタル系/スパイシー系,東洋への憧れを表現した、マンダリン、ジャスミン、ミルラ、バニラなどが織りなす官能的で中毒性のある香り。
リブレ オーデトワレ,Yves Saint Laurent,イヴ・サンローラン,フローラル系/アロマティック系,マスキュリンなラベンダーとフェミニンなオレンジブロッサムにホワイトティーが加わった、みずみずしく色香を放つセンシュアルな香り。
フェラーリ スクーデリア レッド,Ferrari,フェラーリ,シトラス系/ウッディ系/スパイシー系,ベルガモット、オレンジ、ジャスミン、シダー、サンダルウッドなどが織りなす、爽やかでスパイシーなシトラス系の香り。
フェラーリ ブラック,Ferrari,フェラーリ,アロマティック系/フゼア系,レッドアップル、シナモン、バニラ、シダーなどが織りなす、爽やかなフルーツからスパイシーで甘い香りへと変化する男性的でエキサイティングな香り。
フェラーリ ライト エッセンス,Ferrari,フェラーリ,フルーティー系/ウッディ系/フレッシュ系,グリーンアップル、レモン、フリージア、チークウッドなどが織りなす、爽やかで清潔感あふれるユニセックスな香り。
ウォモ,Moschino,モスキーノ,ウッディ系/フローラル系/ムスク系,キンカン、コリアンダー、シクラメン、ムスク、シダーウッドなどが織りなす、爽やかさの中にスパイシーさと甘さが同居する多面的な香り。
ピンク ブーケ,Moschino,モスキーノ,フルーティー系/フローラル系,ラズベリー、パイナップル、牡丹、スズラン、ジンジャーブレッドなどが香る、ポジティブで若々しいフローラルフルーティー。
トイ2 パール,Moschino,モスキーノ,シトラス系/ウッディ系/ムスク系,レモンソルベ、オレガノ、ジャスミン、フリージア、ベチバー、サイプレス、ムスクが調和した、海底やマザーオブパールから着想を得たジェンダーレスな香り。
マヤ,Tocca,トッカ,フローラル系/ウッディ系,ワイルドアイリスとブラックカラントが特徴の、フロリダビターオレンジ、ダマスクローズ、パチュリ、オークモスが織りなす美しく思慮深い大人の香り。
シモネ,Tocca,トッカ,フルーティー系/フローラル系,ビーチの波に飛び込む元気な少女をイメージした、ウォーターメロン、プルメリア、ムスクが香るみずみずしくフルーティーな香り。
リリアナ,Tocca,トッカ,フローラル系,スズラン、ガーデニア、ピオニーの花々が主役の、ピーチ、ベルガモット、ムスク、サンダルウッドが織りなす魅惑的でフレッシュな香り。
ビアンカ,Tocca,トッカ,シトラス系/フローラル系,南イタリアのシーサイドカフェをイメージした、ベルガモット、グリーンティー、ローズが溶け合う爽やかでほのかな甘さの香り。
ジュリエッタ,Tocca,トッカ,フルーティー系/フローラル系,グリーンアップルとチューリップが主役の、ブルガリアンローズ、イランイラン、スズラン、ムスクなどが織りなす甘く優美な香り。
ルチア,Tocca,トッカ,フルーティー系/フローラル系,イタリアのスローライフから着想を得た、イタリアンレモン、フィグ、フィグリーフ、ローズ、シダーウッドが香る明るく爽やかな香り。
フローレンス,Tocca,トッカ,フローラル系,パリジェンヌの洗練された美しさをテーマにした、ガーデニアとスミレ、ジャスミン、ホワイトムスクが主役の上品な香り。
ステラ,Tocca,トッカ,シトラス系/フローラル系,美しく気まぐれなイタリアの娘をイメージした、ブラッドオレンジ、フリージア、ムスク、サンダルウッドが香るフレッシュでフルーティーな香り。
クレオパトラ,Tocca,トッカ,フローラル系/オリエンタル系,古代エジプトの女王クレオパトラをイメージした、グレープフルーツ、ジャスミン、ピーチ、パチュリ、アンバー、バニラが織りなす魅惑的でエキゾチックな香り。
ダリ プールオム,Salvador Dali,サルバドール・ダリ,ウッディ系/シプレ系,シュルレアリスムの巨匠サルバドール・ダリの名を冠した、ベルガモット、バジル、ジャスミン、レザー、パチュリなどが複雑に香る芸術的なフレグランス。
ダリア,Salvador Dali,サルバドール・ダリ,フローラル系,幻想的なダリアの花をイメージした、優雅でミステリアスなフローラルノート。
ダリライト,Salvador Dali,サルバドール・ダリ,フルーティー系/フローラル系,ヴォーグ誌の表紙絵「クリスマス」にインスパイアされた、レモン、アップル、スイレン、ホワイトピーチ、ムスクが香るフレッシュでやさしい香り。
スタイル ソフト,Jil Sander,ジル サンダー,フローラル系/ウッディ系/ムスク系,フリージア、ブラックカラント、スミレ、マグノリア、バニラ、ムスクなどが織りなす、軽やかで柔らかくフェミニンな香り。
シンプリー プドゥレ インテンス,Jil Sander,ジル サンダー,パウダリー系/ウッディ系,フリージア、マンダリン、ヘリオトロープ、カカオ、サンダルウッドなどが織りなす、暖かく官能的でクリーミーなパウダリーノート。
シンプリー プドゥレ,Jil Sander,ジル サンダー,パウダリー系/フローラル系,マンダリン、フリージア、ヘリオトロープ、ライス、カシュメランなどが織りなす、素肌にカシミアを纏うような暖かく滑らかなパウダリーな香り。
クチュール クチュール,Juicy Couture,ジューシークチュール,オリエンタル系/フローラル系,マンダリン、アフリカンオレンジフラワー、ジャスミン、ハニーサックル、アンバー、バニラなどが織りなす華やかでグラマラスな香り。
プリティ イン パープル,Juicy Couture,ジューシークチュール,フルーティー系/フローラル系,甘く魅力的なベリーとフローラルが織りなす、可愛らしい香り。
ビバ ラ ジューシー ノワール,Juicy Couture,ジューシークチュール,フルーティー系/フローラル系/グルマン系,ワイルドベリー、マンダリン、ハニーサックル、キャラメル、バニラなどが織りなす、官能的で大胆な香り。
ビバ ラ ジューシー ゴールド クチュール,Juicy Couture,ジューシークチュール,フルーティー系/フローラル系/グルマン系,ワイルドベリー、ジャスミン、キャラメル、バニラ、サンダルウッドが織りなす、甘く官能的なラグジュアリーな香り。
クチュール ララ,Juicy Couture,ジューシークチュール,フルーティー系/フローラル系,マンダリン、グリーンアップル、スズラン、オレンジブロッサム、ムスクが織りなす、自由奔放で軽やかなフローラル。
ビバ ラ ジューシー ロゼ,Juicy Couture,ジューシークチュール,フルーティー系/フローラル系,ロゼシャンパンにインスパイアされた、マンダリン、ペア、ローズ、ピオニー、ベンゾインが弾けるように香る楽しくフェミニンな香り。
リザーブ ウォーム コットン,Clean,クリーン,フローラル系/ムスク系,洗い立てのシーツやタオルに包まれるような、アルデヒドジンジャー、リリー、ムスク、アンバーが織りなす心地よい清潔感と優雅な香り。
リザーブ H2オー ネクタリン ペタル,Clean,クリーン,フルーティー系/ムスク系,ネクタリン、ゴールデンカモミール、ピーチブロッサム、ムスクが織りなす、春の訪れを感じさせるジューシーで爽やかな香り。
リザーブ H2オー ブリリアント ピオニー,Clean,クリーン,フローラル系/ムスク系,軽やかにきらめく朝露を思わせる、ベルガモット、ピオニー、マグノリア、ムスク、サンダルウッドが織りなすみずみずしく透明感のある香り。
リザーブ H2オー ゴールデン シトラス,Clean,クリーン,シトラス系/フローラル系/ムスク系,海を臨む黄金色の柑橘畑をイメージした、マンダリン、ベルガモット、ネロリ、ムスクが織りなす軽くフレッシュな香り。
レイン,Clean,クリーン,フレッシュ系/アクア系/フローラル系,通り雨が上がった後の清々しい空気感を表現した、メロン、ウォーターミント、スプリングデイジー、ムスクが香る清潔感あふれるアクアフローラル。
リザーブ セル サンタル,Clean,クリーン,ウッディ系/グリーン系,南フランスの海岸を思わせる、マンダリンリーフ、ソルティフィグ、ヘーゼルナッツクリーム、サンダルウッドが調和した爽やかで温かい香り。
アップル ブロッサム,Clean,クリーン,フルーティー系/フローラル系,完熟した青リンゴと咲き誇る花々を思わせる、アップル、ペア、ピオニー、フリージア、ムスクが香るフレッシュでみずみずしい香り。
クール コットン,Clean,クリーン,フレッシュ系/ソープ系,太陽の光を浴びたコットンのような、ベルガモット、ミモザブロッサム、クールミント、フレッシュコットンアコード、ムスクが香る清潔感あふれる爽やかな香り。
ソフト ランドリー,Clean,クリーン,ソープ系,洗い立ての洗濯物のような、柔らかく心地よい石鹸の香り。
ヘブンリー,Victoria's Secret,ヴィクトリアズ シークレット,ムスク系/ウッディ系,ジャスミン、ムスク、サンダルウッド、バニラが織りなす、温かみのある洗練された香り。
ボムシェル セダクション,Victoria's Secret,ヴィクトリアズ シークレット,フローラル系,魅惑的なフローラルノートが、セクシーで自信に満ちた女性らしさを表現する香り。
ボムシェル,Victoria's Secret,ヴィクトリアズ シークレット,フルーティー系/フローラル系,ジューシーなフルーツと華やかなフローラルが織りなす、大胆で魅力的な香り。
ニナ ローズ,Nina Ricci,ニナ リッチ,フルーティー系/フローラル系,ベルガモット、ペア、オレンジブロッサム、ネロリ、ムスク、シダーウッドが織りなす、フレッシュで軽やかなフローラル。
ルナ,Nina Ricci,ニナ リッチ,グルマン系,ワイルドベリー、オレンジブロッサム、キャラメル、ペア、バニラ、サンダルウッドが織りなす、甘く中毒性のある香り。
ニナ フルール,Nina Ricci,ニナ リッチ,フルーティー系/フローラル系,イタリアンレモン、グラニースミスアップル、オレンジブロッサム、ネロリ、ホワイトムスク、シダーウッドが織りなす、若々しく喜びに満ちた香り。
ル タン デ レーヴ,Goutal,グタール,フローラル系,「夢のひととき」を意味する、ネロリ、ベルガモット、オレンジブロッサム、サンダルウッドが織りなす心地よい香り。
デュエル,Goutal,グタール,ウッディ系/レザー系/アロマティック系,マテ茶、プチグレン、イリス、レザー、ガイアックウッドが調和する、知的で落ち着いた洗練された香り。
オード シャルロット,Goutal,グタール,フルーティー系/フローラル系/グルマン系,カシスジャム、ココア、ミモザ、スズラン、バニラが織りなす、少女の思い出が詰まった甘くロマンティックな香り。
ル パルフェ パナシュ プール ファム,Armaf,アルマフ,フローラル系/スパイシー系,ピンクペッパー、フローラルノート、ジャスミン、アイリス、パチョリ、ムスク、バニラが織りなすモダンで魅惑的なフローラル。
ル パルフェ アズール プール ファム,Armaf,アルマフ,フローラル系,青い空のように爽やかなフローラルノートが、女性の魅力を引き出す。
ル パルフェ プール ファム,Armaf,アルマフ,フローラル系,完璧な女性をイメージした、洗練されたフローラルブーケ。
ル パルフェ プール オム,Armaf,アルマフ,オリエンタル系/フルーティー系/スパイシー系/ウッディ系,ブラックカラント、パイナップル、レモン、スパイス、ジャスミン、ローズ、アンバーグリス、ムスク、バニラが織りなす、フルーティーでスパイシーなウッディーノート。
